source_route,target_portal,target_route,status
/dev/api/decisiones-arquitectura/,tecnico,/api/decisiones-arquitectura/,ready
/dev/api/endpoints/,tecnico,/api/endpoints/,ready
/dev/api/especificacion/,tecnico,/api/especificacion/,ready
/dev/api/,tecnico,/api/,ready
/dev/api/integracion-frontend/autenticacion/,tecnico,/api/integracion-frontend/autenticacion/,ready
/dev/api/integracion-frontend/best-practices/,tecnico,/api/integracion-frontend/best-practices/,ready
/dev/api/integracion-frontend/ejemplos-modulos/,tecnico,/api/integracion-frontend/ejemplos-modulos/,ready
/dev/api/integracion-frontend/endpoints/,tecnico,/api/integracion-frontend/endpoints/,ready
/dev/api/integracion-frontend/,tecnico,/api/integracion-frontend/,ready
/dev/api/integracion-frontend/manejo-errores/,tecnico,/api/integracion-frontend/manejo-errores/,ready
/dev/api/integracion-frontend/setup/,tecnico,/api/integracion-frontend/setup/,ready
/dev/api/integracion-frontend/testing/,tecnico,/api/integracion-frontend/testing/,review
/dev/api/seguridad/,tecnico,/api/seguridad/,ready
/dev/api/servicios-externos/,tecnico,/api/servicios-externos/,ready
/dev/api/testing/,tecnico,/api/testing/,ready
/dev/api/versionado/,tecnico,/api/versionado/,ready
/dev/base-de-datos/,tecnico,/base-de-datos/,ready
/dev/base-de-datos/migraciones/,tecnico,/base-de-datos/migraciones/,ready
/dev/base-de-datos/schema-reference/_generated-models/,tecnico,/base-de-datos/schema-reference/_generated-models/,ready
/dev/base-de-datos/schema-reference/actividades-camporees/,tecnico,/base-de-datos/schema-reference/actividades-camporees/,ready
/dev/base-de-datos/schema-reference/carpetas-evaluacion/,tecnico,/base-de-datos/schema-reference/carpetas-evaluacion/,ready
/dev/base-de-datos/schema-reference/clases-honores/,tecnico,/base-de-datos/schema-reference/clases-honores/,ready
/dev/base-de-datos/schema-reference/clubs/,tecnico,/base-de-datos/schema-reference/clubs/,ready
/dev/base-de-datos/schema-reference/,tecnico,/base-de-datos/schema-reference/,ready
/dev/base-de-datos/schema-reference/inventario-finanzas/,tecnico,/base-de-datos/schema-reference/inventario-finanzas/,ready
/dev/base-de-datos/schema-reference/investidura-certificaciones/,tecnico,/base-de-datos/schema-reference/investidura-certificaciones/,ready
/dev/base-de-datos/schema-reference/organizacion/,tecnico,/base-de-datos/schema-reference/organizacion/,ready
/dev/base-de-datos/schema-reference/rbac/,tecnico,/base-de-datos/schema-reference/rbac/,ready
/dev/base-de-datos/schema-reference/salud-insurance/,tecnico,/base-de-datos/schema-reference/salud-insurance/,ready
/dev/base-de-datos/schema-reference/sistema-recursos/,tecnico,/base-de-datos/schema-reference/sistema-recursos/,ready
/dev/base-de-datos/schema-reference/users-auth/,tecnico,/base-de-datos/schema-reference/users-auth/,ready
/dev/estandares/coding-standards/,tecnico,/estandares/coding-standards/,ready
/dev/estandares/data-guidelines/,tecnico,/estandares/data-guidelines/,ready
/dev/estandares/guia-estructura/,tecnico,/estandares/guia-estructura/,ready
/dev/estandares/,tecnico,/estandares/,ready
/dev/estandares/stack-tecnologico/_generated-versions/,tecnico,/estandares/stack-tecnologico/_generated-versions/,ready
/dev/estandares/stack-tecnologico/backend/,tecnico,/estandares/stack-tecnologico/backend/,ready
/dev/estandares/stack-tecnologico/decisiones/,tecnico,/estandares/stack-tecnologico/decisiones/,ready
/dev/estandares/stack-tecnologico/frontend/,tecnico,/estandares/stack-tecnologico/frontend/,ready
/dev/estandares/stack-tecnologico/,tecnico,/estandares/stack-tecnologico/,ready
/dev/estandares/stack-tecnologico/infraestructura/,tecnico,/estandares/stack-tecnologico/infraestructura/,ready
/dev/estandares/stack-tecnologico/mobile/,tecnico,/estandares/stack-tecnologico/mobile/,ready
/dev/estandares/stack-tecnologico/servicios/,tecnico,/estandares/stack-tecnologico/servicios/,ready
/dev/,tecnico,/referencia/,ready
/dev/testing/,tecnico,/testing/,ready
/dev/testing/usuarios-prueba/,tecnico,/testing/usuarios-prueba/,ready
/docs/autorizacion/contrato-canonico/,tecnico,/seguridad/autorizacion/contrato-canonico/,ready
/docs/autorizacion/,tecnico,/seguridad/autorizacion/,ready
/docs/autorizacion/matriz-rbac/,tecnico,/seguridad/autorizacion/matriz-rbac/,ready
/docs/autorizacion/modelo/,tecnico,/seguridad/autorizacion/modelo/,ready
/docs/autorizacion/permisos/,tecnico,/seguridad/autorizacion/permisos/,ready
/docs/autorizacion/runtime/,tecnico,/seguridad/autorizacion/runtime/,ready
/docs/funcionalidades/actividades-conjuntas/,tecnico,/producto/funcionalidades/actividades-conjuntas/,ready
/docs/funcionalidades/actividades/,tecnico,/producto/funcionalidades/actividades/,ready
/docs/funcionalidades/annual-folders-scoring/,tecnico,/producto/funcionalidades/annual-folders-scoring/,ready
/docs/funcionalidades/aprobaciones-camporees/,tecnico,/producto/funcionalidades/aprobaciones-camporees/,ready
/docs/funcionalidades/aprobaciones-masivas/,tecnico,/producto/funcionalidades/aprobaciones-masivas/,ready
/docs/funcionalidades/audit-logs/,tecnico,/producto/funcionalidades/audit-logs/,ready
/docs/funcionalidades/camporees/,tecnico,/producto/funcionalidades/camporees/,ready
/docs/funcionalidades/carpetas-evidencias/,tecnico,/producto/funcionalidades/carpetas-evidencias/,ready
/docs/funcionalidades/catalogos/,tecnico,/producto/funcionalidades/catalogos/,ready
/docs/funcionalidades/certificaciones-guias-mayores/,tecnico,/producto/funcionalidades/certificaciones-guias-mayores/,ready
/docs/funcionalidades/clases-progresivas/,tecnico,/producto/funcionalidades/clases-progresivas/,ready
/docs/funcionalidades/comunicaciones/,tecnico,/producto/funcionalidades/comunicaciones/,ready
/docs/funcionalidades/finanzas/,tecnico,/producto/funcionalidades/finanzas/,ready
/docs/funcionalidades/gestion-clubs/,tecnico,/producto/funcionalidades/gestion-clubs/,ready
/docs/funcionalidades/gestion-seguros/,tecnico,/producto/funcionalidades/gestion-seguros/,ready
/docs/funcionalidades/honores/,tecnico,/producto/funcionalidades/honores/,ready
/docs/funcionalidades/,tecnico,/producto/funcionalidades/,ready
/docs/funcionalidades/inventario/,tecnico,/producto/funcionalidades/inventario/,ready
/docs/funcionalidades/materiales/,tecnico,/producto/funcionalidades/materiales/,ready
/docs/funcionalidades/rbac/,tecnico,/producto/funcionalidades/rbac/,ready
/docs/funcionalidades/recursos/,tecnico,/producto/funcionalidades/recursos/,ready
/docs/funcionalidades/sla-dashboard/,tecnico,/producto/funcionalidades/sla-dashboard/,ready
/docs/funcionalidades/validacion-evidencias/,tecnico,/producto/funcionalidades/validacion-evidencias/,ready
/docs/funcionalidades/validacion-investiduras/,tecnico,/producto/funcionalidades/validacion-investiduras/,ready
/docs/fundamentos/arquitectura/,tecnico,/arquitectura/fundamentos/arquitectura/,ready
/docs/fundamentos/decisiones-clave/,tecnico,/arquitectura/fundamentos/decisiones-clave/,ready
/docs/fundamentos/dominio/,tecnico,/arquitectura/fundamentos/dominio/,ready
/docs/fundamentos/identidad/,tecnico,/arquitectura/fundamentos/identidad/,ready
/docs/fundamentos/,tecnico,/arquitectura/fundamentos/,ready
/docs/fundamentos/runtime/,tecnico,/arquitectura/fundamentos/runtime/,ready
/docs/fundamentos/source-of-truth/,tecnico,/arquitectura/fundamentos/source-of-truth/,ready
/docs/guias/admin-integration/,tecnico,/guias/admin-integration/,ready
/docs/guias/deployment/,tecnico,/guias/deployment/,review
/docs/guias/developer-workflow/,tecnico,/guias/developer-workflow/,ready
/docs/guias/idea-to-spec/,tecnico,/guias/idea-to-spec/,ready
/docs/guias/,tecnico,/guias/,ready
/docs/,tecnico,/revision/legacy-documentation-index/,review
/docs/sistema-de-diseno/componentes/,tecnico,/frontend/sistema-de-diseno/componentes/,ready
/docs/sistema-de-diseno/dark-mode-y-responsive/,tecnico,/frontend/sistema-de-diseno/dark-mode-y-responsive/,ready
/docs/sistema-de-diseno/estructura-archivos/,tecnico,/frontend/sistema-de-diseno/estructura-archivos/,ready
/docs/sistema-de-diseno/formularios/,tecnico,/frontend/sistema-de-diseno/formularios/,ready
/docs/sistema-de-diseno/,tecnico,/frontend/sistema-de-diseno/,ready
/docs/sistema-de-diseno/patrones-crud/,tecnico,/frontend/sistema-de-diseno/patrones-crud/,review
/docs/sistema-de-diseno/presentacion-datos/,tecnico,/frontend/sistema-de-diseno/presentacion-datos/,ready
/docs/sistema-de-diseno/stack-y-paleta/,tecnico,/frontend/sistema-de-diseno/stack-y-paleta/,review
/docs/sistema-de-diseno/tipografia-y-espaciado/,tecnico,/frontend/sistema-de-diseno/tipografia-y-espaciado/,ready
