surface,module,route_or_feature,manual_path,processes,status,owner
admin,dashboard,/,/pantallas/dashboard/,,missing,documentation
admin,dashboard,/dashboard,/pantallas/dashboard/,,missing,documentation
admin,achievements,/dashboard/achievements,/pantallas/dashboard/achievements/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders,/pantallas/dashboard/annual-folders/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/categories,/pantallas/dashboard/annual-folders/categories/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/evaluate,/pantallas/dashboard/annual-folders/evaluate/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/ranking-config,/pantallas/dashboard/annual-folders/ranking-config/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/ranking-config/[id],/pantallas/dashboard/annual-folders/ranking-config/[id]/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/ranking-config/new,/pantallas/dashboard/annual-folders/ranking-config/new/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/rankings,/pantallas/dashboard/annual-folders/rankings/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/rankings/[enrollmentId]/breakdown,/pantallas/dashboard/annual-folders/rankings/[enrollmentId]/breakdown/,,missing,documentation
admin,annual-folders,/dashboard/annual-folders/templates,/pantallas/dashboard/annual-folders/templates/,,missing,documentation
admin,campamentos,/dashboard/campamentos,/pantallas/dashboard/campamentos/,,missing,documentation
admin,campamentos,/dashboard/campamentos/[id],/pantallas/dashboard/campamentos/[id]/,,missing,documentation
admin,campamentos,/dashboard/campamentos/[id]/events/[eventId]/edit,/pantallas/dashboard/campamentos/[id]/events/[eventId]/edit/,,missing,documentation
admin,campamentos,/dashboard/campamentos/[id]/events/new,/pantallas/dashboard/campamentos/[id]/events/new/,,missing,documentation
admin,campamentos,/dashboard/campamentos/[id]/payments/[paymentId]/edit,/pantallas/dashboard/campamentos/[id]/payments/[paymentId]/edit/,,missing,documentation
admin,campamentos,/dashboard/campamentos/[id]/payments/new,/pantallas/dashboard/campamentos/[id]/payments/new/,,missing,documentation
admin,campamentos,/dashboard/campamentos/configuracion/campo-local,/pantallas/dashboard/campamentos/configuracion/campo-local/,,missing,documentation
admin,campamentos,/dashboard/campamentos/configuracion/union,/pantallas/dashboard/campamentos/configuracion/union/,,missing,documentation
admin,campamentos,/dashboard/campamentos/jueces,/pantallas/dashboard/campamentos/jueces/,,missing,documentation
admin,campamentos,/dashboard/campamentos/plantillas,/pantallas/dashboard/campamentos/plantillas/,,missing,documentation
admin,campamentos,/dashboard/campamentos/plantillas/[id]/edit,/pantallas/dashboard/campamentos/plantillas/[id]/edit/,,missing,documentation
admin,campamentos,/dashboard/campamentos/plantillas/new,/pantallas/dashboard/campamentos/plantillas/new/,,missing,documentation
admin,campamentos,/dashboard/campamentos/union,/pantallas/dashboard/campamentos/union/,,missing,documentation
admin,campamentos,/dashboard/campamentos/union/[id],/pantallas/dashboard/campamentos/union/[id]/,,missing,documentation
admin,campamentos,/dashboard/campamentos/union/[id]/events/[eventId]/edit,/pantallas/dashboard/campamentos/union/[id]/events/[eventId]/edit/,,missing,documentation
admin,campamentos,/dashboard/campamentos/union/[id]/events/new,/pantallas/dashboard/campamentos/union/[id]/events/new/,,missing,documentation
admin,catalogs,/dashboard/catalogs/activity-types,/pantallas/dashboard/catalogs/activity-types/,,missing,documentation
admin,catalogs,/dashboard/catalogs/allergies,/pantallas/dashboard/catalogs/allergies/,,missing,documentation
admin,catalogs,/dashboard/catalogs/camporee-event-types,/pantallas/dashboard/catalogs/camporee-event-types/,,missing,documentation
admin,catalogs,/dashboard/catalogs/certifications,/pantallas/dashboard/catalogs/certifications/,,missing,documentation
admin,catalogs,/dashboard/catalogs/certifications/[certificationId],/pantallas/dashboard/catalogs/certifications/[certificationId]/,,missing,documentation
admin,catalogs,/dashboard/catalogs/churches,/pantallas/dashboard/catalogs/churches/,,missing,documentation
admin,catalogs,/dashboard/catalogs/class-modules,/pantallas/dashboard/catalogs/class-modules/,,missing,documentation
admin,catalogs,/dashboard/catalogs/class-sections,/pantallas/dashboard/catalogs/class-sections/,,missing,documentation
admin,catalogs,/dashboard/catalogs/classes,/pantallas/dashboard/catalogs/classes/,,missing,documentation
admin,catalogs,/dashboard/catalogs/classes/[classId],/pantallas/dashboard/catalogs/classes/[classId]/,,missing,documentation
admin,catalogs,/dashboard/catalogs/club-ideals,/pantallas/dashboard/catalogs/club-ideals/,,missing,documentation
admin,catalogs,/dashboard/catalogs/club-types,/pantallas/dashboard/catalogs/club-types/,,missing,documentation
admin,catalogs,/dashboard/catalogs/countries,/pantallas/dashboard/catalogs/countries/,,missing,documentation
admin,catalogs,/dashboard/catalogs/diseases,/pantallas/dashboard/catalogs/diseases/,,missing,documentation
admin,catalogs,/dashboard/catalogs/districts,/pantallas/dashboard/catalogs/districts/,,missing,documentation
admin,catalogs,/dashboard/catalogs/divisions,/pantallas/dashboard/catalogs/divisions/,,missing,documentation
admin,catalogs,/dashboard/catalogs/ecclesiastical-years,/pantallas/dashboard/catalogs/ecclesiastical-years/,,missing,documentation
admin,catalogs,/dashboard/catalogs/finance-categories,/pantallas/dashboard/catalogs/finance-categories/,,missing,documentation
admin,catalogs,/dashboard/catalogs/honor-categories,/pantallas/dashboard/catalogs/honor-categories/,,missing,documentation
admin,catalogs,/dashboard/catalogs/honors,/pantallas/dashboard/catalogs/honors/,,missing,documentation
admin,catalogs,/dashboard/catalogs/inventory-categories,/pantallas/dashboard/catalogs/inventory-categories/,,missing,documentation
admin,catalogs,/dashboard/catalogs/local-fields,/pantallas/dashboard/catalogs/local-fields/,,missing,documentation
admin,catalogs,/dashboard/catalogs/medicines,/pantallas/dashboard/catalogs/medicines/,,missing,documentation
admin,catalogs,/dashboard/catalogs/relationship-types,/pantallas/dashboard/catalogs/relationship-types/,,missing,documentation
admin,catalogs,/dashboard/catalogs/unions,/pantallas/dashboard/catalogs/unions/,,missing,documentation
admin,certificate-bulk-imports,/dashboard/certificate-bulk-imports,/pantallas/dashboard/certificate-bulk-imports/,,missing,documentation
admin,certificate-bulk-imports,/dashboard/certificate-bulk-imports/[batchId],/pantallas/dashboard/certificate-bulk-imports/[batchId]/,,missing,documentation
admin,certifications,/dashboard/certifications,/pantallas/dashboard/certifications/,,missing,documentation
admin,certifications,/dashboard/certifications/[id],/pantallas/dashboard/certifications/[id]/,,missing,documentation
admin,certifications,/dashboard/certifications/reviews,/pantallas/dashboard/certifications/reviews/,,missing,documentation
admin,clubs,/dashboard/clubs,/pantallas/dashboard/clubs/,,missing,documentation
admin,clubs,/dashboard/clubs/[id],/pantallas/dashboard/clubs/[id]/,,missing,documentation
admin,clubs,/dashboard/clubs/activities,/pantallas/dashboard/clubs/activities/,,missing,documentation
admin,clubs,/dashboard/clubs/activities/[id],/pantallas/dashboard/clubs/activities/[id]/,,missing,documentation
admin,clubs,/dashboard/clubs/evidence-folders,/pantallas/dashboard/clubs/evidence-folders/,,missing,documentation
admin,clubs,/dashboard/clubs/evidence-folders/[folderId],/pantallas/dashboard/clubs/evidence-folders/[folderId]/,,missing,documentation
admin,clubs,/dashboard/clubs/evidence-folders/[folderId]/view,/pantallas/dashboard/clubs/evidence-folders/[folderId]/view/,,missing,documentation
admin,clubs,/dashboard/clubs/evidence-folders/templates,/pantallas/dashboard/clubs/evidence-folders/templates/,,missing,documentation
admin,clubs,/dashboard/clubs/import,/pantallas/dashboard/clubs/import/,,missing,documentation
admin,clubs,/dashboard/clubs/new,/pantallas/dashboard/clubs/new/,,missing,documentation
admin,clubs,/dashboard/clubs/validations,/pantallas/dashboard/clubs/validations/,,missing,documentation
admin,clubs,/dashboard/clubs/validations/certificates/[batchId],/pantallas/dashboard/clubs/validations/certificates/[batchId]/,,missing,documentation
admin,coming-soon,/dashboard/coming-soon,/pantallas/dashboard/coming-soon/,,missing,documentation
admin,configuration,/dashboard/configuration,/pantallas/dashboard/configuration/,,missing,documentation
admin,configuration,/dashboard/configuration/achievements,/pantallas/dashboard/configuration/achievements/,,missing,documentation
admin,configuration,/dashboard/configuration/achievements/[categoryId],/pantallas/dashboard/configuration/achievements/[categoryId]/,,missing,documentation
admin,configuration,/dashboard/configuration/achievements/[categoryId]/[achievementId]/edit,/pantallas/dashboard/configuration/achievements/[categoryId]/[achievementId]/edit/,,missing,documentation
admin,configuration,/dashboard/configuration/achievements/[categoryId]/new,/pantallas/dashboard/configuration/achievements/[categoryId]/new/,,missing,documentation
admin,configuration,/dashboard/configuration/local-field/delivery,/pantallas/dashboard/configuration/local-field/delivery/,,missing,documentation
admin,configuration,/dashboard/configuration/local-field/payment-methods,/pantallas/dashboard/configuration/local-field/payment-methods/,,missing,documentation
admin,configuration,/dashboard/configuration/matrix,/pantallas/dashboard/configuration/matrix/,,missing,documentation
admin,configuration,/dashboard/configuration/notifications,/pantallas/dashboard/configuration/notifications/,,missing,documentation
admin,configuration,/dashboard/configuration/notifications/categories,/pantallas/dashboard/configuration/notifications/categories/,,missing,documentation
admin,configuration,/dashboard/configuration/notifications/history,/pantallas/dashboard/configuration/notifications/history/,,missing,documentation
admin,configuration,/dashboard/configuration/notifications/send,/pantallas/dashboard/configuration/notifications/send/,,missing,documentation
admin,configuration,/dashboard/configuration/permissions,/pantallas/dashboard/configuration/permissions/,,missing,documentation
admin,configuration,/dashboard/configuration/roles,/pantallas/dashboard/configuration/roles/,,missing,documentation
admin,configuration,/dashboard/configuration/roles/[roleId],/pantallas/dashboard/configuration/roles/[roleId]/,,missing,documentation
admin,configuration,/dashboard/configuration/roles/new,/pantallas/dashboard/configuration/roles/new/,,missing,documentation
admin,configuration,/dashboard/configuration/variables,/pantallas/dashboard/configuration/variables/,,missing,documentation
admin,coordination,/dashboard/coordination,/pantallas/dashboard/coordination/,,missing,documentation
admin,enrollments,/dashboard/enrollments,/pantallas/dashboard/enrollments/,,missing,documentation
admin,finances,/dashboard/finances,/pantallas/dashboard/finances/,,missing,documentation
admin,insurance,/dashboard/insurance,/pantallas/dashboard/insurance/,,missing,documentation
admin,insurance,/dashboard/insurance/config,/pantallas/dashboard/insurance/config/,,missing,documentation
admin,insurance,/dashboard/insurance/expiring,/pantallas/dashboard/insurance/expiring/,,missing,documentation
admin,inventory,/dashboard/inventory,/pantallas/dashboard/inventory/,,missing,documentation
admin,investiture,/dashboard/investiture,/pantallas/dashboard/investiture/,,missing,documentation
admin,investiture,/dashboard/investiture/config,/pantallas/dashboard/investiture/config/,,missing,documentation
admin,investiture,/dashboard/investiture/pipeline,/pantallas/dashboard/investiture/pipeline/,,missing,documentation
admin,materials,/dashboard/materials,/pantallas/dashboard/materials/,,missing,documentation
admin,materials,/dashboard/materials/categories,/pantallas/dashboard/materials/categories/,,missing,documentation
admin,materials,/dashboard/materials/config,/pantallas/dashboard/materials/config/,,missing,documentation
admin,materials,/dashboard/materials/inbox,/pantallas/dashboard/materials/inbox/,,missing,documentation
admin,materials,/dashboard/materials/inventory,/pantallas/dashboard/materials/inventory/,,missing,documentation
admin,materials,/dashboard/materials/receipts,/pantallas/dashboard/materials/receipts/,,missing,documentation
admin,materials,/dashboard/materials/receipts/[folio],/pantallas/dashboard/materials/receipts/[folio]/,,missing,documentation
admin,materials,/dashboard/materials/request/[folio],/pantallas/dashboard/materials/request/[folio]/,,missing,documentation
admin,member-of-month,/dashboard/member-of-month,/pantallas/dashboard/member-of-month/,,missing,documentation
admin,notifications,/dashboard/notifications,/pantallas/dashboard/notifications/,,missing,documentation
admin,notifications,/dashboard/notifications/history,/pantallas/dashboard/notifications/history/,,missing,documentation
admin,payment-orders,/dashboard/payment-orders,/pantallas/dashboard/payment-orders/,,missing,documentation
admin,ranking-weights,/dashboard/ranking-weights,/pantallas/dashboard/ranking-weights/,,missing,documentation
admin,rbac,/dashboard/rbac/user-permissions,/pantallas/dashboard/rbac/user-permissions/,,missing,documentation
